alpha=0.05, K=5, t=3min
Loss: 1142.6919280290604	Valid acc: 67.36%	Test acc: 64.70%
Loss: 1135.1411724686623	Valid acc: 67.40%	Test acc: 64.67%
Loss: 1126.3111253976822	Valid acc: 67.44%	Test acc: 64.57%
Loss: 1119.3338869214058	Valid acc: 67.33%	Test acc: 64.54%
Loss: 1112.243240594864	Valid acc: 67.39%	Test acc: 64.61%
Loss: 1106.8885454535484	Valid acc: 67.52%	Test acc: 64.70%
Loss: 1100.9640054702759	Valid acc: 67.85%	Test acc: 65.07%
Loss: 1095.8573187291622	Valid acc: 67.70%	Test acc: 64.88%
Loss: 1091.0187914967537	Valid acc: 67.48%	Test acc: 64.76%
Loss: 1087.481792062521	Valid acc: 67.79%	Test acc: 65.00%
Loss: 1082.8391013145447	Valid acc: 67.88%	Test acc: 64.80%
Loss: 1078.859297811985	Valid acc: 68.02%	Test acc: 65.11%
Loss: 1074.8395510315895	Valid acc: 67.76%	Test acc: 64.89%
Loss: 1071.7024623155594	Valid acc: 67.99%	Test acc: 65.23%
Loss: 1068.4938139915466	Valid acc: 67.74%	Test acc: 65.09%
Loss: 1065.65044850111	Valid acc: 67.82%	Test acc: 65.06%
Loss: 1062.128186494112	Valid acc: 67.86%	Test acc: 65.05%
Loss: 1059.6992858052254	Valid acc: 67.70%	Test acc: 65.05%
Loss: 1056.7598115205765	Valid acc: 67.56%	Test acc: 64.87%
Loss: 1054.681103527546	Valid acc: 67.69%	Test acc: 64.99%
Loss: 1052.200209647417	Valid acc: 68.04%	Test acc: 65.13%
Loss: 1049.593547731638	Valid acc: 67.51%	Test acc: 64.57%
Loss: 1047.122408747673	Valid acc: 67.79%	Test acc: 65.04%
Loss: 1045.7332673966885	Valid acc: 67.81%	Test acc: 65.06%
Loss: 1042.904495447874	Valid acc: 67.81%	Test acc: 65.00%
Loss: 1041.3817220330238	Valid acc: 68.04%	Test acc: 65.05%
Loss: 1038.5837670564651	Valid acc: 67.82%	Test acc: 64.87%
Loss: 1037.090721487999	Valid acc: 67.91%	Test acc: 64.98%
Loss: 1035.6549341380596	Valid acc: 67.97%	Test acc: 65.15%
Best epoch: 31
Valid acc: 68.04%
Test acc: 65.13%

alpha=0.2, K=5, t=3min
Loss: 1781.247073173523	Valid acc: 56.91%	Test acc: 55.80%
Loss: 1473.4862677454948	Valid acc: 58.88%	Test acc: 57.75%
Loss: 1401.7998978495598	Valid acc: 60.36%	Test acc: 58.94%
Loss: 1357.939485669136	Valid acc: 61.77%	Test acc: 60.08%
Loss: 1326.4749465584755	Valid acc: 62.50%	Test acc: 60.77%
Loss: 1301.543348789215	Valid acc: 63.10%	Test acc: 61.03%
Loss: 1281.3249852657318	Valid acc: 63.17%	Test acc: 61.12%
Loss: 1263.9339627623558	Valid acc: 63.28%	Test acc: 61.36%
Loss: 1249.8231736421585	Valid acc: 64.10%	Test acc: 61.89%
Loss: 1236.5338173508644	Valid acc: 64.43%	Test acc: 62.22%
Loss: 1224.1713869571686	Valid acc: 64.34%	Test acc: 62.28%
Loss: 1214.3597567677498	Valid acc: 64.50%	Test acc: 62.21%
Loss: 1205.5541853308678	Valid acc: 64.82%	Test acc: 62.51%
Loss: 1197.471164405346	Valid acc: 65.05%	Test acc: 62.81%
Loss: 1189.8124715089798	Valid acc: 64.78%	Test acc: 62.70%
Loss: 1182.2638610005379	Valid acc: 64.56%	Test acc: 62.50%
Loss: 1175.9144426584244	Valid acc: 64.73%	Test acc: 62.56%
Loss: 1170.3059936761856	Valid acc: 65.08%	Test acc: 62.85%
